Timestamp,Device_ID,Device_Type,Protocol,Source_IP,Destination_IP,Geo_Location,Packet_Size,Request_Type,Payload_Entropy,CPU_Usage (%),Memory_Usage (%),Temperature (°C),Battery_Level (%),Malicious_Activity,Attack_Type
2025-01-12 02:09:38.801740,DEV-0,Actuator,CoAP,192.168.66.248,192.168.213.235,"(-62.262725, -107.082729)",1176,PUBLISH,4.507266915870833,10.473321489742114,11.055642220821467,-16.488180955091792,44.982327571795224,1,Malware
2024-10-07 22:52:38.801740,DEV-1,Gateway,CoAP,192.168.175.24,192.168.231.227,"(73.940972, 91.792158)",910,SUBSCRIBE,6.430439123867801,91.54385908695302,35.35577450723797,41.73736994823079,84.73500281430886,1,Brute Force
2024-09-22 05:44:38.801740,DEV-2,Gateway,Modbus,192.168.23.50,192.168.198.237,"(-20.113692, 152.560421)",1344,PUBLISH,1.0971879052219453,10.012595179598732,54.2870218881318,39.64488864799898,30.198022695393632,0,
2025-01-30 16:21:38.801740,DEV-3,Sensor,MQTT,192.168.235.8,192.168.186.172,"(-62.867782, -142.827208)",1180,POST,4.64559267643428,65.17270856740703,81.31759654065795,15.445637749325236,37.18128729306647,0,
2024-11-06 18:05:38.801740,DEV-4,Sensor,Modbus,192.168.63.80,192.168.166.204,"(-4.532208, -123.604478)",1145,POST,4.044070083118911,41.906253401476974,22.427865257755478,14.314199794393978,16.482188299022628,0,
2024-11-01 06:24:38.801740,DEV-5,Actuator,MQTT,192.168.225.233,192.168.68.105,"(-7.620017, 52.150068)",1094,SUBSCRIBE,1.1526302881055965,41.156319635288796,80.49005429605334,5.326515762484313,20.91845927767303,0,
2024-10-28 07:41:38.801740,DEV-6,Gateway,OPC-UA,192.168.0.219,192.168.125.111,"(78.122114, 162.324763)",171,GET,4.991987884231859,68.27563182069571,40.56420976689964,49.592165417721404,65.6873302259359,0,
2024-10-13 02:07:38.801740,DEV-7,Gateway,CoAP,192.168.103.67,192.168.97.99,"(44.090399, 16.938823)",516,SUBSCRIBE,2.189123342886173,7.642279530357993,19.702471786935845,-12.218146707231114,51.07816180070809,0,
2025-01-29 18:09:38.801740,DEV-8,Actuator,MQTT,192.168.154.81,192.168.186.237,"(-49.571001, -82.276758)",1288,GET,3.9026745483521,59.77687251219203,76.13965760390478,21.315066494002494,23.11318606256029,0,
2024-10-06 08:16:38.801740,DEV-9,Sensor,Modbus,192.168.140.47,192.168.209.191,"(79.233509, -76.817089)",380,SUBSCRIBE,0.658178594216495,77.43114681126312,9.998991245980234,27.717711307869195,40.29096163616526,0,
2025-01-18 21:00:38.801740,DEV-10,Gateway,MQTT,192.168.184.128,192.168.157.109,"(8.735177, 0.076064)",137,GET,3.6766724577089844,82.99306303077283,51.96197003346885,45.403100575186116,37.31834598636817,0,
2025-01-30 12:29:38.801740,DEV-11,Gateway,HTTP,192.168.42.190,192.168.201.72,"(-12.750138, 60.752119)",1446,POST,2.4517077443425626,17.882508549983754,7.323702602326953,34.614244779973305,98.73602045353343,0,
2025-02-27 02:27:38.801740,DEV-12,Sensor,OPC-UA,192.168.84.26,192.168.240.55,"(-85.295843, 102.525211)",1173,PUBLISH,6.579049689482835,89.8444859577392,36.28536766062097,25.069304196808275,85.35658372113794,0,
2024-12-25 23:12:38.801740,DEV-13,Gateway,OPC-UA,192.168.202.156,192.168.231.153,"(-19.206651, 13.823966)",921,GET,0.45582981597894623,65.95846309289678,60.50660310163288,-11.823137823151413,38.79663333838243,0,
